State,2015,2016,2017,2018
Alabama,45.17766497461929,45.59585492227979,45.14285714285714,46.89265536723164
Alaska,85.43689320388349,87.87878787878788,87.20930232558139,84.61538461538461
Arizona,54.145077720207254,52.116402116402114,52.956989247311824,53.15068493150685
Arkansas,70.65637065637065,70.2127659574468,68.34862385321101,69.60352422907489
California,56.29791894852135,55.00000000000001,55.311778290993075,53.93654524089306
Colorado,67.48768472906403,71.50537634408603,69.72972972972973,71.42857142857143
Connecticut,56.43153526970954,59.227467811158796,61.57407407407407,62.55506607929515
Delaware,51.61290322580645,65.51724137931035,72.72727272727273,66.66666666666666
District of Columbia,44.73684210526316,53.65853658536586,59.45945945945946,65.71428571428571
Florida,56.022944550669216,55.714285714285715,57.56929637526652,55.601659751037346
Georgia,70.33898305084746,71.23287671232876,72.0,71.23287671232876
Hawaii,44.680851063829785,37.77777777777778,25.71428571428571,36.84210526315789
Idaho,86.93467336683418,86.4406779661017,84.93150684931507,85.03937007874016
Illinois,57.71812080536913,62.5,61.18251928020566,62.08791208791209
Indiana,64.80263157894737,60.13289036544851,64.0,64.58333333333334
Iowa,75.90361445783132,76.12903225806451,79.33333333333333,74.46808510638297
Kansas,70.0,67.22689075630252,73.17073170731707,68.59504132231406
Kentucky,76.14678899082568,76.47058823529412,74.51923076923077,75.34883720930232
Louisiana,45.69892473118279,48.1283422459893,48.86363636363637,47.8021978021978
Maine,64.0552995391705,63.54679802955665,65.05376344086021,63.888888888888886
Maryland,64.26229508196721,65.06849315068493,65.53030303030303,64.77732793522267
Massachusetts,65.58823529411765,65.78171091445427,68.25396825396825,67.54098360655738
Michigan,69.06666666666666,70.47353760445682,69.13946587537092,70.53824362606233
Minnesota,68.3127572016461,65.83333333333333,63.83928571428571,64.68085106382979
Mississippi,57.14285714285714,59.11602209944752,58.95953757225434,60.81871345029239
Missouri,63.86554621848739,65.75342465753424,67.45283018867924,65.40284360189574
Montana,78.35051546391753,75.0,78.16091954022988,74.69879518072288
Nebraska,72.1311475409836,69.23076923076923,68.42105263157895,65.44117647058823
Nevada,69.23076923076923,70.58823529411765,78.26086956521739,77.08333333333334
New Hampshire,62.68656716417911,53.2258064516129,57.14285714285714,55.172413793103445
New Jersey,51.64179104477612,52.51572327044025,51.9607843137255,49.52076677316294
New Mexico,61.038961038961034,61.111111111111114,53.44827586206896,60.0
New York,50.45685279187817,51.05908584169454,52.90628706998813,52.42603550295858
North Carolina,59.06432748538012,60.526315789473685,59.53307392996109,64.11149825783971
North Dakota,93.93939393939394,87.5,87.5,88.23529411764706
Ohio,65.70458404074702,66.72473867595818,67.33212341197822,68.38365896980461
Oklahoma,71.33333333333334,69.5945945945946,69.93006993006993,71.91780821917808
Oregon,52.972972972972975,51.17647058823529,54.48717948717948,54.268292682926834
Pennsylvania,67.81045751633987,67.23549488054607,66.54991243432575,66.66666666666666
Puerto Rico,43.75,43.18181818181818,49.152542372881356,53.84615384615385
Rhode Island,39.0625,37.096774193548384,35.714285714285715,35.714285714285715
South Carolina,59.09090909090909,59.50413223140496,59.63302752293578,60.952380952380956
South Dakota,79.62962962962963,81.25,80.3921568627451,79.59183673469387
Tennessee,71.97452229299363,72.94520547945206,74.08759124087592,72.56317689530685
Texas,61.78010471204188,60.49723756906077,61.29032258064516,58.753709198813056
Utah,67.56756756756756,68.10344827586206,68.11594202898551,72.18543046357617
Vermont,55.26315789473685,52.63157894736842,55.4054054054054,52.054794520547944
Virginia,59.86159169550172,60.8058608058608,61.13207547169811,61.1336032388664
Washington,57.89473684210527,61.48409893992933,62.14511041009464,60.95505617977528
West Virginia,75.80645161290323,76.10619469026548,80.7017543859649,80.16528925619835
Wisconsin,84.25720620842571,84.18604651162791,83.33333333333334,83.4567901234568
Wyoming,83.33333333333334,78.43137254901961,83.33333333333334,83.33333333333334
