,State,RATE
0,Alabama,16.6
1,Alaska,27.0
2,Arizona,18.2
3,Arkansas,20.8
4,California,10.5
5,Colorado,20.3
6,Connecticut,10.5
7,Delaware,11.6
8,Florida,14.0
9,Georgia,13.6
10,Hawaii,15.2
11,Idaho,23.2
12,Illinois,11.2
13,Indiana,16.3
14,Iowa,15.0
15,Kansas,19.1
16,Kentucky,16.9
17,Louisiana,15.2
18,Maine,18.9
19,Maryland,9.8
20,Massachusetts,9.5
21,Michigan,14.1
22,Minnesota,13.8
23,Mississippi,15.0
24,Missouri,18.5
25,Montana,28.9
26,Nebraska,14.7
27,Nevada,20.3
28,New Hampshire,18.9
29,New Jersey,8.3
30,New Mexico,23.3
31,New York,8.1
32,North Carolina,14.3
33,North Dakota,20.1
34,Ohio,14.8
35,Oklahoma,19.1
36,Oregon,19.0
37,Pennsylvania,15.0
38,Rhode Island,11.8
39,South Carolina,16.3
40,South Dakota,22.5
41,Tennessee,16.8
42,Texas,13.4
43,Utah,22.7
44,Vermont,18.3
45,Virginia,13.4
46,Washington,16.9
47,West Virginia,21.1
48,Wisconsin,15.4
49,Wyoming,26.9
